topic,term,cosine,df
Modern racism& inequality,espersen,0.6871,14
Modern racism& inequality,positieverbetering,0.6871,5
Modern racism& inequality,cultuursensitief,0.687,5
Modern racism& inequality,influence,0.6869,5
Modern racism& inequality,simone,0.6869,7
Modern racism& inequality,anti-zwart,0.6856,21
Modern racism& inequality,multiperspectiviteit,0.6849,8
Modern racism& inequality,prescribing,0.6842,6
Modern racism& inequality,self-inculpatory,0.6839,6
Modern racism& inequality,antidiscriminatievoorzieningen,0.6838,7
Modern racism& inequality,decolonization,0.6838,6
Modern racism& inequality,utrechtse,0.6819,134
Modern racism& inequality,aannames,0.6817,12
Modern racism& inequality,hoofddoek,0.6811,7
Modern racism& inequality,discussie,0.6784,68
Modern racism& inequality,cultural,0.6784,13
Modern racism& inequality,comprehensive,0.6784,8
Modern racism& inequality,schimmelpenninck,0.6784,18
Modern racism& inequality,issues,0.6782,10
Modern racism& inequality,curricula,0.6779,7
Modern racism& inequality,compensation,0.6772,7
Modern racism& inequality,issue,0.6767,11
Modern racism& inequality,kanumoyoso,0.6761,5
Modern racism& inequality,migration,0.6757,6
Modern racism& inequality,legislation,0.675,22
Modern racism& inequality,indonesiërs,0.6747,8
Modern racism& inequality,papiaments,0.6747,14
Modern racism& inequality,antoine,0.6742,8
Modern racism& inequality,activisme,0.6741,12
Modern racism& inequality,institute,0.6739,22
Modern racism& inequality,legislative,0.6735,11
Modern racism& inequality,matthias,0.6735,75
Modern racism& inequality,ideologische,0.6734,13
Modern racism& inequality,reflectie,0.6733,18
Modern racism& inequality,dignity,0.6733,8
Modern racism& inequality,anemaet,0.6732,6
Modern racism& inequality,chinese,0.6729,13
Modern racism& inequality,kingston,0.6726,7
Modern racism& inequality,citizens,0.6725,10
Modern racism& inequality,coronie,0.6723,6
Modern racism& inequality,problem,0.6719,6
Modern racism& inequality,muller,0.6717,5
Modern racism& inequality,minnaert,0.6716,10
Modern racism& inequality,intolerance,0.6715,5
Modern racism& inequality,comparative,0.671,16
Modern racism& inequality,clause,0.6707,7
Modern racism& inequality,berbice,0.6705,48
Modern racism& inequality,because,0.6702,5
