topic,keyword,is_regex,group,weight
Modern & Everyday Racism,"(?<!\w)stereotyper(?:\W+\w+){0,11}?\W+uitsluit(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)uitsluit(?:\W+\w+){0,11}?\W+stereotyper(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)culturel(?:\W+\w+){0,11}?\W+inclusie(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)inclusie(?:\W+\w+){0,11}?\W+culturel(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)integratie(?:\W+\w+){0,11}?\W+racism(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)racism(?:\W+\w+){0,11}?\W+integratie(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)migrant(?:\W+\w+){0,11}?\W+uitsluit(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)uitsluit(?:\W+\w+){0,11}?\W+migrant(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)culturel(?:\W+\w+){0,11}?\W+integratie(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)integratie(?:\W+\w+){0,11}?\W+culturel(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)discriminatie(?:\W+\w+){0,11}?\W+uitsluit(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)uitsluit(?:\W+\w+){0,11}?\W+discriminatie(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)discriminatie(?:\W+\w+){0,11}?\W+inclusie(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)inclusie(?:\W+\w+){0,11}?\W+discriminatie(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)educatie(?:\W+\w+){0,11}?\W+racism(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)racism(?:\W+\w+){0,11}?\W+educatie(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)migrant(?:\W+\w+){0,11}?\W+racism(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)racism(?:\W+\w+){0,11}?\W+migrant(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)discriminatie(?:\W+\w+){0,11}?\W+etnisch(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)etnisch(?:\W+\w+){0,11}?\W+discriminatie(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)microagressie(?:\W+\w+){0,11}?\W+racism(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)racism(?:\W+\w+){0,11}?\W+microagressie(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)culturel(?:\W+\w+){0,11}?\W+etnisch(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)etnisch(?:\W+\w+){0,11}?\W+culturel(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)discriminatie(?:\W+\w+){0,11}?\W+stereotyper(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)stereotyper(?:\W+\w+){0,11}?\W+discriminatie(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)achtergesteld(?:\W+\w+){0,11}?\W+racism(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)racism(?:\W+\w+){0,11}?\W+achtergesteld(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)racism(?:\W+\w+){0,11}?\W+systemisch(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)systemisch(?:\W+\w+){0,11}?\W+racism(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)achterstell(?:\W+\w+){0,11}?\W+racism(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)racism(?:\W+\w+){0,11}?\W+achterstell(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)etnisch(?:\W+\w+){0,11}?\W+racism(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)racism(?:\W+\w+){0,11}?\W+etnisch(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+onderwijs(?!\w)",True,pair,1.55
Reparations and Remembrance,"(?<!\w)onderwijs(?:\W+\w+){0,11}?\W+emancipatie(?!\w)",True,pair,1.55
Reparations and Remembrance,"(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+slavernijverled(?!\w)",True,pair,1.55
Reparations and Remembrance,"(?<!\w)slavernijverled(?:\W+\w+){0,11}?\W+emancipatie(?!\w)",True,pair,1.55
Reparations and Remembrance,"(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+geschiedenis(?!\w)",True,pair,1.55
Reparations and Remembrance,"(?<!\w)geschiedenis(?:\W+\w+){0,11}?\W+emancipatie(?!\w)",True,pair,1.55
Reparations and Remembrance,"(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+schadevergoed(?!\w)",True,pair,1.55
Reparations and Remembrance,"(?<!\w)schadevergoed(?:\W+\w+){0,11}?\W+emancipatie(?!\w)",True,pair,1.55
Reparations and Remembrance,"(?<!\w)archief(?:\W+\w+){0,11}?\W+emancipatie(?!\w)",True,pair,1.55
Reparations and Remembrance,"(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+archief(?!\w)",True,pair,1.55
Reparations and Remembrance,"(?<!\w)commissie(?:\W+\w+){0,11}?\W+emancipatie(?!\w)",True,pair,1.55
