prob__burgerrechten,prob__gezondheidszorg,prob__arbeid,prob__onderwijs,prob__milieu,prob__immigratie,prob__criminaliteit,prob__sociale_zaken,prob__huisvesting,prob__buitenlandse_zaken,prob__ruimtelijke_ordening,prob__Cultuur_en_sport,prob__Ramp_ongeval
0.25853473,0.96462226,0.4582049,0.24565881,0.29037976,0.048204612,0.12365059,0.13622138,0.041298714,0.095985055,0.05964812,0.05144566,0.08220871
0.23444174,0.6031331,0.9658929,0.08766541,0.22998038,0.038208943,0.0820855,0.50365645,0.07795359,0.07296603,0.06711369,0.045254618,0.032683942
0.103038974,0.4694104,0.34076217,0.07832009,0.9291206,0.030727804,0.05466114,0.25365758,0.043696936,0.25181603,0.11592952,0.046254314,0.030239355
0.33735085,0.7714662,0.373856,0.11740282,0.8772494,0.112564534,0.197105,0.2418082,0.98906624,0.11506567,0.23393975,0.09763971,0.3613242
0.21762523,0.55801225,0.26293042,0.043046445,0.9140254,0.03135011,0.067373365,0.63676226,0.88998955,0.050440248,0.13235879,0.049657475,0.071772665
0.31847122,0.473383,0.25766456,0.052347355,0.92068523,0.161147,0.19216774,0.17819919,0.99058986,0.17310482,0.16426496,0.09341801,0.115213215
0.44343862,0.52832013,0.89538157,0.06347435,0.18320444,0.054559734,0.13267384,0.58039105,0.02632888,0.31931627,0.030371573,0.02458114,0.030454919
0.51347965,0.34797806,0.15054438,0.059038498,0.87635016,0.10674207,0.96049744,0.1417164,0.09215993,0.1726646,0.18118647,0.10248341,0.13898303
0.19184516,0.62631744,0.7034079,0.052833106,0.9740269,0.07848747,0.06510115,0.2024418,0.07183403,0.086867176,0.072742485,0.049942717,0.026643762
0.082672745,0.5679073,0.7900638,0.749821,0.7106975,0.9704625,0.11131458,0.58785677,0.12605606,0.12031058,0.09559734,0.09696849,0.13401379
0.9165,0.6343679,0.88729465,0.0837901,0.33246356,0.07733264,0.111850806,0.31231445,0.078143544,0.083300844,0.054938875,0.072862834,0.039645385
0.4503671,0.54086465,0.342874,0.05031917,0.12955464,0.022171339,0.12380268,0.38348132,0.05167759,0.0898716,0.02057308,0.036475662,0.033061273
0.5893036,0.7963138,0.82730246,0.08968497,0.085422516,0.043570463,0.13360892,0.121070616,0.05296747,0.0696166,0.040242124,0.057211384,0.03603657
0.3772067,0.2984213,0.9054093,0.08969776,0.0944651,0.033938058,0.076864354,0.582741,0.049662314,0.069877066,0.03480879,0.050687153,0.021571299
