chunk_id,dominant_topic,dominant_score,score_margin,confidence_level
68a2b82b:00001,Historical Slavery,0.3846730855827944,0.050659419216034,high
e831c89a:00000,Historical Slavery,0.4764525814403182,0.0879701434846169,high
e831c89a:00001,Historical Slavery,0.4793326463682851,0.0634613040219919,high
78991ca1:00000,Historical Slavery,0.4852727744178659,0.0907118233547601,high
aa08a652:00000,Historical Slavery,0.4696416322625093,0.0927603774859026,high
9023546c:00000,Historical Slavery,0.4710218675712662,0.0711502107598565,high
9023546c:00001,Historical Slavery,0.4891056744203956,0.154853394624063,high
ec1a90dc:00001,Colonialism,0.4414101022390362,0.0634566397659336,high
79d106cd:00000,Historical Slavery,0.4481501508560003,0.0506990339791338,high
79d106cd:00001,Colonialism,0.4338326803248408,0.0766401598310813,high
7e8c95a5:00001,Colonialism,0.4136776493179445,0.2210996909056505,high
f74c76ac:00000,Colonialism,0.4612526335333815,0.0715109462467456,high
7c875239:00000,Historical Slavery,0.4767910507363052,0.0833416839231658,high
1714f3a2:00000,Colonialism,0.3906759781956703,0.0764434816085601,high
442c3690:00000,Historical Slavery,0.4434533953760747,0.1069394339604971,high
e22b3607:00001,Historical Slavery,0.4437863168096951,0.1420134699134048,high
79e769c9:00000,Historical Slavery,0.3771986967291984,0.0692371041587335,high
5001a196:00000,Historical Slavery,0.5742645787193721,0.140522428893966,high
5001a196:00001,Historical Slavery,0.5266826653818161,0.0619594696690186,high
4f905d17:00001,Historical Slavery,0.5227425345758822,0.1480667368778176,high
725c138e:00000,Historical Slavery,0.4592006055343557,0.1368622850747198,high
39c4bbed:00001,Historical Slavery,0.460884007880121,0.0570913156876066,high
f3d8b992:00000,Historical Slavery,0.3720986914823819,0.0612118701866967,high
eac1902f:00001,Colonialism,0.527407834878894,0.1483806681801006,high
e78ae8ca:00000,Historical Slavery,0.4176354795024368,0.0813908930770223,high
1c6412a3:00000,Historical Slavery,0.4754922055641148,0.0928005909464576,high
1c6412a3:00001,Colonialism,0.5010107845671604,0.1229778575649672,high
40993b23:00000,Historical Slavery,0.497905004420993,0.0964588999819693,high
41dba28f:00000,Colonialism,0.5303064434381853,0.0885812299230805,high
41dba28f:00001,Historical Slavery,0.5350016842289562,0.1617738487547155,high
6312a1b6:00001,Historical Slavery,0.463117586594538,0.1014161512627625,high
8b7ae073:00000,Historical Slavery,0.448952616120901,0.0999824978554845,high
8b7ae073:00001,Historical Slavery,0.3969003329664284,0.1142837618431277,high
a8d21fe2:00000,Historical Slavery,0.4872056241205496,0.0828396332818714,high
189b0978:00000,Historical Slavery,0.4565351965917344,0.0528796816514925,high
6c95fbea:00000,Colonialism,0.4593710250782668,0.0858472160367475,high
f405efc9:00000,Colonialism,0.4157347082477932,0.0778159429685692,high
f405efc9:00001,Historical Slavery,0.3864646495244044,0.0859380820316304,high
c4c6e9e9:00001,Historical Slavery,0.462434217439101,0.066154426856974,high
4217227b:00000,Historical Slavery,0.428917662253523,0.0844588589303181,high
4217227b:00001,Colonialism,0.3906566898662442,0.0611607569295023,high
6ee5eada:00000,Colonialism,0.4443214224301756,0.0721890317912782,high
