topic,term,cosine,df
Modern Racism & Inequality,voorname,0.6729,7
Modern Racism & Inequality,uitmaken,0.6729,18
Modern Racism & Inequality,voorwaarde,0.6659,21
Modern Racism & Inequality,verkenning,0.6655,19
Modern Racism & Inequality,generaties,0.6639,35
Modern Racism & Inequality,uitstek,0.663,6
Modern Racism & Inequality,gerealiseerd,0.6616,5
Modern Racism & Inequality,uit-,0.6597,7
Modern Racism & Inequality,kleurrijke,0.6594,7
Modern Racism & Inequality,onttrekken,0.6584,5
Modern Racism & Inequality,structureel,0.658,43
Modern Racism & Inequality,uitwerking,0.6553,16
Modern Racism & Inequality,opgesloten,0.6532,8
Modern Racism & Inequality,prejudice,0.6523,6
Modern Racism & Inequality,kleur,0.6481,88
Modern Racism & Inequality,aannames,0.6477,12
Modern Racism & Inequality,uitgesloten,0.646,11
Modern Racism & Inequality,uiting,0.646,28
Modern Racism & Inequality,structurele,0.6453,54
Modern Racism & Inequality,compagnie,0.6453,127
Modern Racism & Inequality,veronderstelling,0.6452,5
Modern Racism & Inequality,kolonisatie,0.6431,22
Modern Racism & Inequality,tegenstellingen,0.6429,8
Modern Racism & Inequality,uiten,0.6402,12
Modern Racism & Inequality,verzameling,0.6392,7
Modern Racism & Inequality,aanvoer,0.6386,20
Modern Racism & Inequality,uitte,0.6373,8
Modern Racism & Inequality,kolonialisme,0.6355,162
Modern Racism & Inequality,uitgekeerd,0.6337,14
Modern Racism & Inequality,nationalistische,0.6328,6
Modern Racism & Inequality,voortzetting,0.6314,10
Modern Racism & Inequality,zwarte,0.6291,207
Modern Racism & Inequality,buurt,0.6276,11
Modern Racism & Inequality,ontslag,0.6255,15
Modern Racism & Inequality,verstrekken,0.6235,7
Modern Racism & Inequality,verwezen,0.6222,17
Modern Racism & Inequality,koppelen,0.6217,5
Modern Racism & Inequality,aansluiting,0.6216,5
Modern Racism & Inequality,uitgeoefend,0.6207,9
Modern Racism & Inequality,tegenspraak,0.6203,5
Modern Racism & Inequality,sloten,0.6192,11
Modern Racism & Inequality,gesloten,0.6187,15
Modern Racism & Inequality,ongelijkheid,0.6163,42
Modern Racism & Inequality,voorwoord,0.6147,5
Modern Racism & Inequality,koloniale,0.6144,446
Modern Racism & Inequality,aanpakken,0.613,8
Modern Racism & Inequality,doorbreken,0.6124,12
Modern Racism & Inequality,koloniaal,0.612,91
Modern Racism & Inequality,opvattingen,0.6118,29
Modern Racism & Inequality,ongelijkheden,0.6112,7
Modern Racism & Inequality,aanvang,0.61,11
Modern Racism & Inequality,uitgaan,0.6093,8
Modern Racism & Inequality,opheffing,0.6081,33
Modern Racism & Inequality,inclusie,0.6079,40
Modern Racism & Inequality,aflossing,0.606,6
Modern Racism & Inequality,vestiging,0.606,22
Modern Racism & Inequality,invulling,0.6059,9
Modern Racism & Inequality,staat,0.6042,445
Modern Racism & Inequality,opzet,0.6041,10
Modern Racism & Inequality,beschouw,0.603,5
Modern Racism & Inequality,gekleurde,0.6019,11
Modern Racism & Inequality,uitmaakt,0.6003,6
Modern Racism & Inequality,uitgestrekte,0.6003,7
Modern Racism & Inequality,ontnemen,0.5998,5
Modern Racism & Inequality,georganiseerde,0.5997,6
Modern Racism & Inequality,bepaling,0.5994,18
Modern Racism & Inequality,omgaan,0.5987,20
Modern Racism & Inequality,aantrekkel,0.5986,7
Modern Racism & Inequality,samenvatting,0.5982,12
Modern Racism & Inequality,nederzetting,0.5971,7
Modern Racism & Inequality,verbieden,0.5958,6
Modern Racism & Inequality,meerderheid,0.5945,43
Modern Racism & Inequality,omgang,0.5939,28
Modern Racism & Inequality,beoordeeld,0.5938,11
Modern Racism & Inequality,georganiseerd,0.5928,47
Modern Racism & Inequality,voortzetten,0.5919,7
Modern Racism & Inequality,tegenstelling,0.5916,28
Modern Racism & Inequality,oprichting,0.591,57
Modern Racism & Inequality,treden,0.5908,16
Modern Racism & Inequality,verbouwen,0.5898,17
Modern Racism & Inequality,onderwijs,0.5891,112
Modern Racism & Inequality,vervoeren,0.5888,7
Modern Racism & Inequality,kansen,0.5882,29
Modern Racism & Inequality,beargumenteerde,0.5879,8
Modern Racism & Inequality,oordeelde,0.5876,5
Modern Racism & Inequality,respect,0.5869,23
Modern Racism & Inequality,verbindt,0.5864,5
Modern Racism & Inequality,sloot,0.5861,11
Modern Racism & Inequality,vertegenwoordiging,0.5855,9
Modern Racism & Inequality,verspreiding,0.5854,6
Modern Racism & Inequality,provincie,0.5839,29
Modern Racism & Inequality,ontkenning,0.5836,11
Modern Racism & Inequality,voorval,0.5836,6
Modern Racism & Inequality,etnische,0.583,64
Modern Racism & Inequality,domstad,0.5828,8
Modern Racism & Inequality,kans,0.5822,50
Modern Racism & Inequality,racist,0.5814,8
Modern Racism & Inequality,veronderstelde,0.5808,5
Modern Racism & Inequality,interpretatie,0.5806,8
Modern Racism & Inequality,regio,0.5799,37
Modern Racism & Inequality,onderwijsinstellingen,0.5781,6
Modern Racism & Inequality,verspreiden,0.5777,9
Modern Racism & Inequality,wijk,0.5773,6
Modern Racism & Inequality,waardering,0.5768,15
Modern Racism & Inequality,negeren,0.5758,9
Modern Racism & Inequality,discriminatie,0.5757,141
Modern Racism & Inequality,interpretaties,0.5745,5
Modern Racism & Inequality,afschaffing,0.5738,219
Modern Racism & Inequality,kolonisten,0.5738,34
Modern Racism & Inequality,bekennen,0.5736,5
Modern Racism & Inequality,gemeenschappen,0.5726,58
Modern Racism & Inequality,inwoners,0.5725,53
Modern Racism & Inequality,vestigingen,0.5712,5
Modern Racism & Inequality,gedacht,0.571,13
Modern Racism & Inequality,antikoloniale,0.5707,6
Modern Racism & Inequality,stadsbestuur,0.5706,35
Modern Racism & Inequality,vooraanstaande,0.5704,15
Modern Racism & Inequality,population,0.5702,6
Modern Racism & Inequality,gedigitaliseerd,0.5697,8
Modern Racism & Inequality,voordoen,0.5696,7
Modern Racism & Inequality,overnamen,0.5694,5
Modern Racism & Inequality,stad,0.5677,147
Modern Racism & Inequality,beschouwing,0.5667,9
Modern Racism & Inequality,werkgroep,0.5666,10
Modern Racism & Inequality,gemeentelijke,0.5656,8
Modern Racism & Inequality,koloniën,0.5641,273
Modern Racism & Inequality,voorgoed,0.5639,6
Modern Racism & Inequality,ongeacht,0.5639,9
