term,term_freq,doc_freq
q1,102,78
sommige,101,90
uitkomst,101,92
partij,101,61
gewijzigd,101,90
taskforce,101,71
vertrouwen,101,80
armoede,101,73
vereniging,101,77
vaststellen,101,89
uur,101,71
coördinatie,101,94
deelnemers,101,71
contract,101,77
versterkte,101,64
diergezondheidsfonds,101,50
gekregen,100,95
haag,100,77
afstemming,100,98
gesloten,100,98
modernisering,100,83
heer,100,70
missies,100,69
voorgenomen,100,88
primaire,100,78
bijgedragen,100,95
crediteuren,100,64
verplich,100,86
verkoop,100,81
knmi,100,52
bezoldiging,100,51
karakter,99,95
langere,99,92
geregeld,99,88
ontwikkelingslanden,99,77
pvv,99,87
aivd,99,58
