topic,term,cosine,df,weight,category,parent,is_seed
Historical_Slavery_Colonialism,slavenbezit,0.7632,2,0.9,strongly_related,slavenhouders,0
Historical_Slavery_Colonialism,voc-imperium,0.7619,4,1.0,core,voc,0
Historical_Slavery_Colonialism,slavenrederij,0.7606,2,0.9,strongly_related,slavenhouders,0
Historical_Slavery_Colonialism,afkeer,0.7586,12,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,voc-dienaren,0.7582,11,1.0,core,voc,0
Historical_Slavery_Colonialism,racist,0.7568,2,0.9,strongly_related,raciaal,0
Historical_Slavery_Colonialism,plantagearbeid,0.7568,4,0.9,strongly_related,plantageslavernij,0
Historical_Slavery_Colonialism,slavenhandelsrederij,0.7566,4,0.9,strongly_related,slavenhandelaren,0
Historical_Slavery_Colonialism,plantageareaal,0.7562,3,0.7,moderately_related,plantage-economie,0
Historical_Slavery_Colonialism,omzetting,0.7561,4,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,voc-functionarissen,0.7546,3,1.0,core,voc,0
Historical_Slavery_Colonialism,dekolonisatieoorlogen,0.7545,2,0.7,moderately_related,dekolonisatie,0
Historical_Slavery_Colonialism,geschiedenisboek,0.7541,3,0.3,context,geschiedenis,0
Historical_Slavery_Colonialism,afhandeling,0.7528,9,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,afgeven,0.7528,5,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,voc-gebied,0.7521,4,1.0,core,voc,0
Historical_Slavery_Colonialism,verveling,0.752,4,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,slaaven,0.7516,23,1.0,core,slaaf,0
Historical_Slavery_Colonialism,voc-bestuurders,0.7515,3,1.0,core,voc,0
Historical_Slavery_Colonialism,landbouwkolonie,0.7514,4,0.7,moderately_related,plantagekolonie,0
Historical_Slavery_Colonialism,afleggen,0.7511,5,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,slavennaam,0.751,3,1.0,core,slaven,0
Historical_Slavery_Colonialism,slaafgemaak-,0.7509,2,1.0,core,slaaf,0
Historical_Slavery_Colonialism,gekoloniseerden,0.7505,6,0.7,moderately_related,dekolonisatie,0
Historical_Slavery_Colonialism,ontdekking,0.7488,6,0.9,strongly_related,beschaving,0
Historical_Slavery_Colonialism,discrimineren,0.7471,8,1.0,core,rassendiscriminatie,0
Historical_Slavery_Colonialism,antiracisme-,0.7464,2,0.9,strongly_related,raciale,0
Historical_Slavery_Colonialism,plantageproductie,0.7463,2,0.7,moderately_related,plantage-economie,0
Historical_Slavery_Colonialism,non-discriminatiegronden,0.7462,3,1.0,core,rassendiscriminatie,0
Historical_Slavery_Colonialism,antidiscriminatie-,0.7457,2,1.0,core,rassendiscriminatie,0
Historical_Slavery_Colonialism,discriminerend,0.7457,9,1.0,core,rassendiscriminatie,0
Historical_Slavery_Colonialism,vrouwenemancipatie,0.7453,2,1.0,core,emancipatie,0
Historical_Slavery_Colonialism,slavendrijver,0.7446,2,0.9,strongly_related,slavenhalers,0
Historical_Slavery_Colonialism,anti-racisme,0.7437,3,0.9,strongly_related,raciale,0
Historical_Slavery_Colonialism,afwerpen,0.7434,2,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,voc-kamer,0.7431,3,1.0,core,voc,0
Historical_Slavery_Colonialism,huisslaven,0.7431,6,1.0,core,slaven,0
Historical_Slavery_Colonialism,dekolonisatieoorlog,0.7423,2,0.7,moderately_related,dekolonisatie,0
Historical_Slavery_Colonialism,anti-racistisch,0.7419,3,0.9,strongly_related,raciale,0
Historical_Slavery_Colonialism,antiracisme,0.7415,6,0.9,strongly_related,raciale,0
Historical_Slavery_Colonialism,slaafmakers,0.741,5,1.0,core,slaaf,0
Historical_Slavery_Colonialism,verschuiving,0.7409,15,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,huisslaaf,0.7408,2,1.0,core,slaaf,0
Historical_Slavery_Colonialism,scheepskapiteins,0.7389,2,0.9,strongly_related,slavenschepen,0
Historical_Slavery_Colonialism,schiphol,0.7388,3,0.9,strongly_related,slavenschip,0
Historical_Slavery_Colonialism,plantageproducten,0.7388,6,1.0,core,plantagesysteem,0
Historical_Slavery_Colonialism,historicus,0.7378,72,0.3,context,geschiedenis,0
